year_label,mean_fd2wmv,gdp_growth,CPIH,CPI,Unemployment (%),average_weekly_earnings,mean_fdall_mv,mean_fdbus,mean_fdcar,mean_fdhgv,mean_fdlgv,mean_fdpc
2003,189.76452905811627,3.3,0.0,1.4,5.0,351.0,24074.915330661323,127.71643286573143,18810.77755511022,2209.507014028056,2737.1497995991986,8.517034068136272
2003,219.4585720782174,3.3,0.0,1.4,5.0,351.0,17708.208594815824,213.46434743065032,14268.918690313782,1032.794042746703,1973.5729877216918,97.54884038199181
2003,23.31735537190083,3.3,0.0,1.4,5.0,351.0,2323.611570247933,30.224793388429752,1980.170247933884,50.15867768595042,239.7404958677686,27.62479338842975
2003,20.77458396369137,3.3,0.0,1.4,5.0,351.0,2014.319213313162,21.85627836611195,1694.3812405446292,54.62329803328291,222.68381240544636,17.937972768532525
2003,122.1963190184049,3.3,0.0,1.4,5.0,351.0,12060.71472392638,197.558282208589,10374.377300613496,278.1349693251533,1088.4478527607362,135.82822085889572
2003,42.274074074074065,3.3,0.0,1.4,5.0,351.0,3942.212962962963,34.648148148148145,3264.0944444444444,143.75555555555556,457.4407407407408,15.968518518518515
2003,83.11194029850745,3.3,0.0,1.4,5.0,351.0,7919.708955223879,121.43283582089552,6847.962686567164,158.85572139303483,708.3457711442786,113.22139303482588
2003,48.298701298701296,3.3,0.0,1.4,5.0,351.0,4905.990400903444,78.17786561264822,4268.212309429699,82.06832298136645,429.2332015810277,97.99040090344437
2003,142.5,3.3,0.0,1.4,5.0,351.0,9156.5,92.0,7488.5,461.5,972.0,21.0
2003,321.20512820512823,3.3,0.0,1.4,5.0,351.0,51780.5641025641,437.58974358974365,42948.48717948718,2192.128205128205,5881.153846153847,0.0
2003,256.7713004484305,3.3,0.0,1.4,5.0,351.0,29823.713004484303,189.69058295964126,24106.576233183856,1933.8295964125562,3336.8452914798213,64.17937219730942
2003,364.0246037378756,3.3,0.0,1.4,5.0,351.0,20195.9732670925,374.46723444523286,16536.36515259049,672.3061272770286,2248.810267329075,198.5197539626212
2003,327.85973763874875,3.3,0.0,1.4,5.0,351.0,70384.12815338043,354.61150353178596,53711.413723511614,8048.1907164480335,7942.052472250251,0.026236125126135216
2003,122.97516067396214,3.3,0.0,1.4,5.0,351.0,11265.128712871288,89.80805975334377,9203.532221643218,564.2996352266806,1284.5136355740838,20.947021017891267
2004,19.416666666666668,2.4,0.0,1.3,4.8,366.0,2039.8909090909087,18.942424242424238,1717.5,51.67424242424242,232.3575757575757,17.763636363636362
2004,200.8988025038556,2.4,0.0,1.3,4.8,366.0,17930.44534155856,201.75056699628053,14416.281729111855,1072.4058786174362,2039.10836432913,90.4569082826817
2004,20.82372322899505,2.4,0.0,1.3,4.8,366.0,2338.677100494234,27.4678747940692,1995.161449752883,48.22405271828666,247.0,27.09390444810544
2004,327.95180581613516,2.4,0.0,1.3,4.8,366.0,20324.83454502814,359.04385553470917,16665.58876641651,703.329268292683,2268.920848968105,186.125703564728
2004,113.39877300613495,2.4,0.0,1.3,4.8,366.0,11812.5245398773,194.99079754601226,10092.098159509202,254.91104294478527,1157.1257668711658,117.86503067484665
2004,36.20555555555556,2.4,0.0,1.3,4.8,366.0,3984.948148148148,34.748148148148154,3312.4925925925927,139.64814814814815,461.8537037037037,15.298148148148147
2004,74.4641975308642,2.4,0.0,1.3,4.8,366.0,7759.175308641975,120.2074074074074,6649.696296296296,149.15802469135804,765.6493827160492,96.28888888888888
2004,42.43244771057093,2.4,0.0,1.3,4.8,366.0,4823.275862068967,78.0520067834935,4168.377614471453,77.38609383832673,457.0276992651216,80.41775014132278
2004,93.5,2.4,0.0,1.3,4.8,366.0,9373.0,74.5,7586.0,548.5,1070.5,17.0
2004,274.4102564102564,2.4,0.0,1.3,4.8,366.0,52919.51282051282,300.07692307692315,43710.205128205125,2319.153846153846,6315.666666666668,0.0
2004,231.17142857142858,2.4,0.0,1.3,4.8,366.0,31212.91688311689,184.57662337662342,25236.166233766235,2064.812987012987,3496.1896103896106,53.28311688311688
2004,119.60688128087207,2.4,0.0,1.3,4.8,366.0,11597.972406745017,78.89320388349516,9451.923011412026,596.8937148696987,1350.655595298927,19.78657809572475
2004,295.53051181102364,2.4,0.0,1.3,4.8,366.0,71626.5531496063,319.1259842519685,54296.106299212595,8340.170275590552,8375.620078740158,0.004921259842519685
2004,180.55110642781875,2.4,0.0,1.3,4.8,366.0,24529.533192834562,114.47576396206532,19027.3751317176,2297.472075869336,2909.659114857745,7.4299262381454145
2005,169.49099576271186,3.1,0.0,2.1,4.8,383.0,24471.646716101695,114.95762711864408,18967.93167372881,2276.0111228813557,2943.255296610169,6.758474576271187
2005,321.4173457508731,3.1,0.0,2.1,4.8,383.0,20089.918859138532,357.12048894062866,16379.688940628635,701.5252619324797,2330.166821885914,200.5436554132713
2005,234.86607142857144,3.1,0.0,2.1,4.8,383.0,32342.30654761905,182.0892857142857,25894.54166666667,2199.0744047619046,3831.735119047619,35.476190476190474
2005,197.1134719710669,3.1,0.0,2.1,4.8,383.0,17845.017359855334,202.32029837251358,14293.820931283906,1059.1280289330923,2092.634629294756,94.02007233273056
2005,23.09666666666667,3.1,0.0,2.1,4.8,383.0,2338.8516666666665,26.49333333333333,1986.5766666666666,50.40333333333334,252.28166666666667,27.64333333333333
2005,22.141984732824426,3.1,0.0,2.1,4.8,383.0,2074.812213740458,18.35267175572519,1739.6534351145035,55.25801526717557,239.406106870229,18.395419847328245
