year_label,Motorbikes and Scooters,area_name,area_level,Road Category,gdp,GDP Growth,CPIH,CPI,average_weekly_earnings,Change in weekly earnings (£),Change in unemployment (% pts),All Motor Vehicles,Buses and Coaches,Cars and Taxis,All HGVs,All HGVs,All HGVs,All HGVs,LGVs,Pedal Cycles,log(Motorbikes and Scooters),log(All Motor Vehicles),log(Buses and Coaches),log(Cars and Taxis),log(All HGVs),log(All HGVs),log(All HGVs),log(All HGVs),log(LGVs),log(Pedal Cycles)
2011,99.717961324156,nat,nuts1,PR,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,11554.632907243527,83.03539823008848,9335.433956079974,518.9355948869223,27.402163225172075,75.2581120943953,85.88151425762045,1517.5099967223862,25.716158636512624,4.206119472438013,9.003182824903494,4.03966054368963,8.769538363452464,5.774744278607867,2.7385230926089923,3.3647751663435432,3.515354295115292,7.014576250007856,2.5622375448526498
2011,298.1063218390805,nat,nuts1,TM,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,72523.55555555556,318.52490421455934,55172.217432950194,7468.451149425286,313.32662835249045,1785.8486590038315,2685.389846743295,9266.255747126435,0.0,5.401163837432383,10.981366397667976,5.510956885426612,10.704580671478807,8.576901644696129,5.331214556870913,6.9728886158933445,7.3040203049710035,8.903942386126177,
2011,270.51098198721667,nat,nuts1,PU,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,19339.268448576408,363.96223126089484,15709.632771644392,595.0985473561883,21.20104590354445,47.89320162696106,62.462754212667036,2400.0639163277165,254.30784427658332,4.909887437124911,9.698335726811113,5.3206807711211335,9.484507499686703,5.9825735255672825,2.4801830679101755,2.9149661870237966,3.0883339220346433,7.601718331720465,4.531358948926206
2011,161.1700223713647,nat,nuts1,TR,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,25215.234899328858,116.94407158836692,19413.483780760627,2142.8098434004473,103.91666666666669,482.1314317673378,664.6163310961969,3380.8271812080543,7.592841163310963,4.650228020502717,9.721647765444938,4.461427385777019,9.447723789931224,7.10995132183263,4.016200883163216,5.2625641617562255,5.578707485841824,7.739932054868245,1.6446969397959987
2011,210.40924092409242,nat,nuts1,TU,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,34200.45874587459,189.30033003300326,27151.3300330033,2118.742574257425,86.97689768976898,389.56105610561065,564.3762376237623,4530.676567656766,44.22112211221122,5.047091117648319,10.199579744686268,4.9594779301680285,9.96111115053892,7.227430546139599,3.922959970399971,5.122766940326184,5.43112976725612,8.188122909480303,3.037260542759182
2011,288.02702702702703,nat,nuts1,PM,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,54991.972972972966,438.3783783783784,45877.67567567567,2039.2432432432433,67.86486486486487,220.35135135135133,395.1891891891892,6348.648648648647,0.0,5.456298948122182,10.82680606632866,5.7827999323462596,10.633860117431297,7.465078054033762,3.979009275803668,5.109878376952311,5.5012748101149285,8.673536686542459,
2011,36.561224489795926,nat,nuts1,BR,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,3922.7084548104963,30.15889212827989,3237.069970845481,117.24927113702623,7.779883381924198,9.128279883381923,9.750728862973759,501.6690962099125,23.437317784256557,3.197944784404603,7.935164058068257,2.8382712148638403,7.7223256609936515,4.3751833428945694,1.6835760804826432,1.7080415292997568,1.7861683995552846,5.912388129878567,2.6915203277554127
2011,10.521518987341773,nat,nuts1,UR,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,1254.4987341772153,11.739240506329114,1051.192405063291,34.02025316455696,2.1088607594936706,3.764556962025317,4.349367088607595,147.02531645569618,24.30886075949368,1.9972995760678984,6.53793071177649,1.963341811184732,6.340448681443977,2.590577887333487,1.1998762395118756,1.2322562257357914,1.4205976165373897,4.4266255396603,2.5744379296869484
2011,12.81227621483376,nat,nuts1,UU,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,1384.2107416879794,20.767263427109974,1181.1739130434785,22.737084398976982,0.929923273657289,2.2398976982097185,1.907928388746803,146.72020460358058,31.683375959079285,1.9563948671047333,6.695773081874987,2.225738432856033,6.5303365726647655,2.126813991863142,0.9752623297344029,1.404435603855551,1.3758092920255016,4.434679527153191,2.7524615739024867
2011,95.17418032786884,nat,nuts1,BU,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,9955.32581967213,171.4323770491803,8392.27049180328,190.23360655737702,6.786885245901638,11.579918032786884,9.75204918032787,1106.2151639344265,124.5389344262295,4.2068216228598985,9.054228636157733,4.539647789041653,8.877195000050884,4.8962224627070965,1.61071887601157,1.7013519937172712,1.6059855718842733,6.846577669585142,4.122365771751272
2011,14.310272536687634,nat,nuts1,CR,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,1419.658280922432,9.303983228511528,1187.1006289308175,32.58280922431866,3.079664570230608,2.519916142557652,2.1781970649895177,176.3605870020964,22.07966457023061,2.1899128975644047,6.56416975420007,1.842535377081596,6.34354371125812,2.8562646035914128,1.2164212750340129,1.0365030524044696,1.0700188577983656,4.5821741572762615,2.5464729980319882
2011,49.61387900355872,nat,nuts1,CU,1729121.0,1.5,3.8,4.5,455.0,11.0,0.1999999999999993,5159.046263345196,81.09074733096085,4404.316725978648,85.8167259786477,2.7028469750889683,4.7918149466192155,5.005338078291816,538.2081850533808,66.35765124555161,3.3514492542440486,8.226159228345303,3.668470182538351,8.066042674175836,3.7089333025029685,1.1124990753582578,1.3298723866154718,1.3917465882310744,5.9494119742528095,3.6058856218921753
