year_label,mean_fd2wmv,gdp_growth,CPIH,CPI,Unemployment (%),average_weekly_earnings,av_weekly_earnings_change,unemployment_pct_change,mean_fdall_mv,mean_fdbus,mean_fdcar,mean_fdhgv,mean_fdlgv,mean_fdpc,rcat
2011,-0.5760016864769204,-0.06785143231248478,1.5701872791924294,2.0044650031652913,1.41391915987965,0.657173422245961,0.0,0.24951314462072113,-0.4368782373873257,0.2757250605171918,-0.4725707864594999,-0.9062081725309686,0.110024699143735,0.7960514304799916,PR
2005,0.8050893205073586,0.7623307983343879,-1.4246872996533628,-0.18222409119684482,-1.1672353915602216,-1.1309496103767707,1.076297283088719,-0.02079276205172687,0.05620290884318771,-0.8600036965844412,0.5484946233316911,1.0487685451774236,-0.9050446078169156,-1.303125748935068,PR
2015,-0.8172672740472365,0.3472396830109515,-1.1094373439853846,-2.095577048763714,-0.6979345640256992,1.3525546015992456,0.1793828805147865,-1.1020163887415226,1.8081687719320483,-0.5892874179477183,1.0996364887258743,-0.50954183219335,2.0968506410670087,1.004378732814961,PR
2003,1.899652084228783,0.8661035771652469,-1.4246872996533628,-0.8200084103858013,-1.0108017823820474,-1.9256709582090958,0.0,-0.29109866872417606,-1.8365008464447925,2.6638666818693935,-1.4286982587739936,0.3138712134717405,-1.8395697560905384,-0.9432523038967612,PR
2007,0.4933814219480073,0.39912607242638104,0.46681243435450603,-4.0461876337626253e-16,-0.7761513686147866,-0.2120530519456447,1.435063044118292,-0.15594571538795207,1.3994065135141698,0.16253788493049878,1.2979380761006285,1.5017942665990802,0.4139208430825672,-1.1626357805277443,PR
2013,-1.2257929102583522,0.2434669041800925,0.38799994543751143,0.27333613679526686,1.0228351369342148,0.9303588855633228,-1.076297283088719,-0.5614045753966254,-0.9862446245246602,-1.4377921198389267,-1.5308170164379662,-1.2343769611525452,0.5745338874698176,1.4362322058232029,PR
2009,0.2847051316577903,-3.025375628991969,0.15156247868652795,-0.09111204559842241,1.0228351369342148,0.16047257985075775,-1.9732116856626516,2.547113351336538,0.006976252359864669,0.6649533942052964,0.3458879082559252,-0.5814354848446858,-0.24447221803610825,0.7655626219681421,PR
2004,1.5411096193828067,0.39912607242638104,-1.4246872996533628,-0.9111204559842235,-1.1672353915602216,-1.5531453264126935,0.717531522059146,-0.29109866872417606,-0.2273512441807071,-1.1848745411110022,0.37183347025889907,1.1904987003608147,-1.286127645225098,-1.3664656538689843,PR
2010,-1.1078072460388055,0.03592134651837429,0.5456249232715006,0.911120455984223,1.2574855507014764,0.3839879589285992,-0.358765761029573,0.3846660979569476,-0.8959149606525512,0.6082680836524537,-0.8672831036619444,-0.6377944700067788,-0.2784281204998695,1.0614840344111993,PR
2006,0.3914111719428945,0.45101246184181065,0.5456249232715006,-4.0461876337626253e-16,-0.6979345640256992,-0.6839188522210877,1.2556801636035055,0.7901249579656208,0.9895571665516928,-0.2999965437270002,1.594630312678844,1.0935903440698314,-0.4919194678282331,-0.9573184613411151,PR
2014,-0.7198067401357252,0.7623307983343879,-0.24249996589844475,-0.728896364787379,-0.07220012731300314,1.0545340961621237,-1.076297283088719,-1.9129341087588694,0.43158747132387254,-0.31735164948666217,-0.12412901848660297,-1.1292983738634506,1.3057163813454755,0.24551296855099386,PR
2012,-1.2503831544446373,-0.06785143231248478,0.6244374121884952,0.45556022799211127,1.3357023552905631,0.806183674964522,-0.8969144025739325,-0.15594571538795085,-0.9177596492509412,-0.15220265262188037,-1.217626028663076,-1.146621754985017,0.2759958276454007,0.8070494879030919,PR
2008,0.28171026173405334,-1.1055792206210755,1.333749812441446,1.1844565927794901,-0.4632841502584382,0.16047257985075775,0.717531522059146,0.5198190512931716,0.6087504779162124,0.4661575161427518,0.3827033331313001,0.9967539798979258,0.26851953574277315,-0.3834735333819239,PR
2011,0.002652278832268576,-0.06785143231248478,1.5701872791924294,2.0044650031652913,1.41391915987965,0.657173422245961,0.0,0.24951314462072113,1.165739127759611,-0.10854691757259756,1.9838138614085936,-0.6919782447621051,0.2651901656246451,-0.704377736698174,TM
2005,0.43918208725618313,0.7623307983343879,-1.4246872996533628,-0.18222409119684482,-1.1672353915602216,-1.1309496103767707,1.076297283088719,-0.02079276205172687,0.23201171858291075,0.4179477698337698,0.40002428360849995,1.1071472203828367,-0.7786334737486016,-0.704377736698174,TM
2015,-1.5022506237091333,0.3472396830109515,-1.1094373439853846,-2.095577048763714,-0.6979345640256992,1.3525546015992456,0.1793828805147865,-1.1020163887415226,1.8907225604574767,-1.991806663432587,0.7312302706761866,-0.11639850727229885,2.093536167034255,-0.704377736698174,TM
2003,1.2096048984174315,0.8661035771652469,-1.4246872996533628,-0.8200084103858013,-1.0108017823820474,-1.9256709582090958,0.0,-0.29109866872417606,-1.4293714031459626,1.006996424933829,-0.71941935260124,0.7731609434898038,-1.849636726369281,-0.36556996230391786,TM
2007,0.7122478206003371,0.39912607242638104,0.46681243435450603,-4.0461876337626253e-16,-0.7761513686147866,-0.2120530519456447,1.435063044118292,-0.15594571538795207,1.007619902444224,0.7912216969309745,0.4457796798382451,0.9878743777692264,0.24840049075246698,1.0420584401629438,TM
2013,-1.145170951033976,0.2434669041800925,0.38799994543751143,0.27333613679526686,1.0228351369342148,0.9303588855633228,-1.076297283088719,-0.5614045753966254,-1.2689597452103838,-0.7683372864128382,-1.587874473294284,-1.5546622511849841,0.7664457250809483,-0.6005134849685263,TM
